id,description,host_listings_count,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,instant_bookable,cancellation_policy,has_house_rules,host_gender,accommodates_catg,guests_included_catg,minimum_nights_catg,host_listings_count_catg,bathrooms_catg,bedrooms_catg,beds_catg,security_deposit,extra_people,yield
13913.jpg,"My bright double bedroom with a large window has a relaxed feeling! It comfortably fits one or two and is centrally located just two blocks from Finsbury Park. Enjoy great restaurants in the area and easy access to easy transport tubes, trains and buses. Babies and children of all ages are welcome. Hello Everyone, I'm offering my lovely double bedroom in Finsbury Park area (zone 2) for let in a shared apartment.  You will share the apartment with me and it is fully furnished with a self catering kitchen. Two people can easily sleep well as the room has a queen size bed. I also have a travel cot for a baby for guest with small children.  I will require a deposit up front as a security gesture on both our parts and will be given back to you when you return the keys.  I trust anyone who will be responding to this add would treat my home with care and respect .  Best Wishes  Alina Guest will have access to the self catering kitchen and bathroom. There is the flat is equipped wifi internet,",4.0,Islington,51.56802,-0.11121,t,apartment,private_room,2,1.0,1.0,0.0,1,1,f,moderate,1,female,2,1,1,3,1,1,0,100.0,15.0,12.0
15400.jpg,"Lots of windows and light.  St Luke's Gardens are at the end of the block, and the river not too far the other way. Ten minutes walk if you go slowly. Buses to everywhere round the corner and shops, restaurants, pubs, the cinema and Waitrose . Bright Chelsea Apartment  This is a bright one bedroom ground floor apartment in an interesting listed building. There is one double bedroom and a living room/kitchen The apartment has a full  bathroom and the kitchen is fully equipped. Two wardrobes are available exclusively for guests and bedside tables and two long drawers. This sunny convenient compact flat is just around the corner from the Waitrose supermarket and all sorts of shops, cinemas, restaurants and pubs.  This is a lovely part of London. There is a fun farmers market in the King's Road at the weekend.  Buses to everywhere are just round the corner, and two underground stations are within ten minutes walk. There is a very nice pub round by St. Luke's gardens, 4 mins slow walk, the ",1.0,Kensington and Chelsea,51.48796,-0.16898,t,apartment,entire_home/apt,2,1.0,1.0,1.0,2,3,f,strict_14_with_grace_period,1,female,2,2,3,1,1,1,1,150.0,0.0,109.5
17402.jpg,"Open from June 2018 after a 3-year break, we are delighted to be welcoming guests again to this superb modern well-equipped recently refurbished space in very central desirable arty and foodie Fitzrovia, W1. Free wifi. Walk to tourist London or use the close by tubes. Head in any direction for a great day out. Amazing choice of restaurants, pubs and supermarkets. Ready again from June 2018 for bookings after a 3-year break and a full refurb, we are excited to welcome guests back to this wonderful very popular beautiful, spacious, contemporary 3-bed / 2-bath apartment in Fitzroy Street, Fitzrovia, W1 (with unlimited wifi). This is a superb property, which has been recently and fully furnished in a contemporary style. With a new kitchen, two new bathrooms, new flooring, all new furniture, beds and mattresses, and redecorated throughout, it makes a great base. London is literally on your doorstep! The apartment is on an upper level (with elevator) and is set out over one floor.  It compri",19.0,Westminster,51.52098,-0.14002,t,apartment,entire_home/apt,6,2.0,3.0,3.0,4,3,t,strict_14_with_grace_period,1,female,3,3,3,3,2,3,3,350.0,10.0,149.64999999999995
24328.jpg,"Artist house, bright high ceiling rooms, private parking and a communal garden in a conservation area near Battersea Park. Bedroom with double bed (160x200) in the mezzanine level and separate dressing room area with walk in closet and day bed. The other double height room is used as a studio/office with a desk, chair and large table. Communal garden is shared with residents of the Victoria school conversion complex. Own small private area for sitting and dining outside. - End of terrace two bedroom house close to Southwest corner of Battersea Park, SW11 - Private gated car parking space next to the house - Bedroom One has a large European queenside (160cm wide) bed in the mezzanine. Dressing area and walk in closet.  - Bedroom Two is used as a studio office space - One bathroom with shower/bath and toilet on upper floor. Another toilet and small sink on ground floor next to kitchen. - Large and modern kitchen/dining room with a small WC - there is a communal garden in our complex - th",2.0,Wandsworth,51.47298,-0.16376,t,other,entire_home/apt,2,1.5,1.0,1.0,2,30,f,moderate,1,male,2,2,3,2,2,1,1,250.0,0.0,215.6
25023.jpg,"Large, all comforts, 2-bed flat; first floor; lift; pretty communal gardens + off-street parking. 10 mins to Southfields tube; Central London 20-30 mins; buses directly outside building; two convenience stores across the road. Includes fortnightly cleaning. If you’re looking for a home away from home, this is for you! 10 mins walk to Southfields tube and Wimbledon tennis, the flat is located in a private building. There are 2 buses right outside the building which stop directly outside the tube station.  Central London 20-30 mins. Each private room offers access to shared communal spaces, i.e. living/dining area with with 32 inch LED TV and parquet flooring; fully equipped modern kitchen with breakfast bar. Larger generous double private room has king sized bed + 22 inch LED TV. Second private double bedroom contains double bed + TV. Desks are in both private rooms. Free wifi. Situated on the first floor with lift, overlooking leafy communal gardens. This is a quiet relaxing space for ",1.0,Wandsworth,51.44687,-0.21874,t,apartment,entire_home/apt,4,1.0,2.0,2.0,2,4,f,moderate,1,female,3,2,3,1,1,2,2,250.0,11.0,79.35
25123.jpg,"Big room with double bed/ clean sheets/ clean towels in very clean private house.  Very light and spacious rooms. Free WIFI everywhere in the house.  Shared house with host and other guests. Full use of kitchen 7 minutes to metro station Big double Room to let up to 6 months or more. Full use of kitchen, bathroom and washing machine.  CLEAN, TIDY, QUIET, Friendly big house.  Garden, Wireless broadband 7 Minutes walk from Brent Cross tube station or 15 minutes from Golders Green station on the Northern line. 20 minutes into Central London. Big shopping centre near by and big Tesco supermarket 5 minutes walking. Fresh linen and towels are provided  Smoking only allowed outside Golders Green is a cosmopolitan area with a prominent Jewish community and has a wide variety of housing plus a busy main shopping street. The area offers restaurants from all over the world, from kosher food to Thai, Korean, and Italian, plus a multitude of coffee bars. The local Golders Hill Park is a popular and",3.0,Barnet,51.57224,-0.20906,t,house,private_room,2,1.5,1.0,1.0,1,10,t,strict_14_with_grace_period,1,female,2,1,3,3,2,1,1,100.0,8.0,31.32
26223.jpg,"Contemporary design meets classic London in this newly-renovated period flat situated in the heart of lively and desirable Angel, Islington, N1. Just a stone’s throw away from London’s nightlife, theatre and restaurants, and minutes away from London’s best attractions, giving you the perfect base to begin your authentic London experience. Clean, comfortable and equipped with all the amenities you need, plus impeccable service, the apartment is ideal for families, leisure or business travellers. As my guest you will enjoy superb service and a smooth check-in. We arrange a suitable time beforehand based on your flight times and then wait for you inside the apartment to welcome you. We give you 2 sets of keys and show you around the apartment. We are available to assist you promptly before, during and after your stay and the apartment also comes with complete instruction manual with pictures and detailed instructions for everything you may need.  This exceptional 1 bedroom property will e",5.0,Islington,51.54168,-0.10207,t,apartment,entire_home/apt,4,1.0,1.0,3.0,3,3,t,strict_14_with_grace_period,1,male,3,3,3,3,1,1,3,100.0,15.0,130.98
26482.jpg,"Contemporary design meets classic London in this newly-renovated period flat situated in the heart of lively and desirable Angel, Islington, N1. Just a stone’s throw away from London’s nightlife, theatre and restaurants, and minutes away from London’s best attractions, giving you the perfect base to begin your authentic London experience. Clean, comfortable and equipped with all the amenities you need, plus impeccable service, the apartment is ideal for families, leisure or business travellers. As my guest you will enjoy superb service and a smooth check-in. We arrange a suitable time beforehand based on your flight times and then wait for you inside the apartment to welcome you. We give you 2 sets of keys and show you around the apartment. We are available to assist you promptly before, during and after your stay and the apartment also comes with complete instruction manual with pictures and detailed instructions for everything you may need.  This exceptional 1 bedroom property will e",5.0,Islington,51.53883,-0.10153,t,apartment,entire_home/apt,5,1.0,1.0,1.0,3,2,t,strict_14_with_grace_period,1,male,3,3,2,3,1,1,1,100.0,10.0,166.5
31361.jpg,"The name says it all, it really is a restful room. The house in general is a place to relax away from the noise and bustle of this great metropolis, and yet in very easy reach of the major tourist sites, business areas and theatres and museums. Room with comfortable (double) bed and plenty of storage.  There is a table and chair for working on.  Suitable for most business people and tourists.  There is a folding table and chair in the room for working on. If you have any queries just ask. Great for exhibitions and events at ExCel Centre IF THE DATES YOU WANT ARE MARKED AS NOT AVAILABLE it's still worth enquiring as I have another room with a single bed - scroll down to the bottom of the Listing page and you will find a link there. Room with comfortable double bed and a variety of shelves, drawers and hanging space for  storage. There is your own mini-library, too. Relaxed vegetarian/ non-smoking  household in a truly multi-ethnic area.   Please read that again.    If you are not comfor",2.0,Newham,51.53484,0.02707,t,other,private_room,2,1.5,1.0,1.0,1,1,f,strict_14_with_grace_period,1,unknown,2,1,1,2,2,1,1,0.0,12.0,46.2
33332.jpg,"Walking distance to Twickenham Stadium, 35 min drive to Wimbledon Tennis! London borough of Richmond. This is a spacious Bedsit + En-Suite at the top of a large Victorian family house. Approximately 25 minute walk to Twickenham Stadium & a 35 minute drive to Wimbledon Tennis, or 45-50 mins by public transport this is a peaceful retreat. It benefits from super views over exotic gardens. The decor is clean, simple and tasteful. The En-suite bedsit is well appointed with ample storage space, simple but efficient cooking facilities, and shared washing machine/drier. Within a minute's walk there are friendly local shops and excellent transport facilities that will get you to St Margaret's station within 3-5 minutes, or Richmond station within 5-10 minutes. A news-agent, post box, butcher, delicatessen, cafe/restaurant. The river Thames tow-path is 2 minute's walk away, and it is a scenic 20 minute walk into Richmond town centre. Wifi included. Available immediately just in time for the tour",1.0,Hounslow,51.46507,-0.32421,t,house,private_room,2,1.0,1.0,1.0,1,1,f,flexible,1,unknown,2,1,1,1,1,1,1,0.0,0.0,5.0
